model,screening_rule,selected_n,true_positives_found,precision,recall,lift_over_random
LightGBM Teacher,Top-K=positives,40,2,0.05,0.05,30.786250000000003
LightGBM Teacher,Top 1%,246,4,0.016260162601626018,0.1,10.01178861788618
LightGBM Teacher,Top 5%,1231,8,0.006498781478472786,0.2,4.001462225832657
LightGBM Teacher,Top 10%,2463,10,0.004060089321965083,0.25,2.499898497766951
LightGBM Teacher,Top 100,100,2,0.02,0.05,12.3145
LightGBM Teacher,Top 250,250,4,0.016,0.1,9.851600000000001
LightGBM Teacher,Top 500,500,5,0.01,0.125,6.15725
Logistic Regression,Top-K=positives,40,0,0.0,0.0,0.0
Logistic Regression,Top 1%,246,0,0.0,0.0,0.0
Logistic Regression,Top 5%,1231,7,0.0056864337936636,0.175,3.5012794476035745
Logistic Regression,Top 10%,2463,10,0.004060089321965,0.25,2.499898497766951
Logistic Regression,Top 100,100,0,0.0,0.0,0.0
Logistic Regression,Top 250,250,0,0.0,0.0,0.0
Logistic Regression,Top 500,500,3,0.006,0.075,3.694350000000001
Random Forest,Top-K=positives,40,0,0.0,0.0,0.0
Random Forest,Top 1%,246,1,0.0040650406504065,0.025,2.502947154471545
Random Forest,Top 5%,1231,3,0.0024370430544272,0.075,1.5005483346872464
Random Forest,Top 10%,2463,6,0.002436053593179,0.15,1.4999390986601706
Random Forest,Top 100,100,0,0.0,0.0,0.0
Random Forest,Top 250,250,1,0.004,0.025,2.4629000000000003
Random Forest,Top 500,500,1,0.002,0.025,1.2314500000000002
Extra Trees,Top-K=positives,40,0,0.0,0.0,0.0
Extra Trees,Top 1%,246,1,0.0040650406504065,0.025,2.502947154471545
Extra Trees,Top 5%,1231,4,0.0032493907392363,0.1,2.0007311129163283
Extra Trees,Top 10%,2463,5,0.0020300446609825,0.125,1.2499492488834756
Extra Trees,Top 100,100,0,0.0,0.0,0.0
Extra Trees,Top 250,250,1,0.004,0.025,2.4629000000000003
Extra Trees,Top 500,500,2,0.004,0.05,2.4629000000000003
LightGBM,Top-K=positives,40,1,0.025,0.025,15.393125
LightGBM,Top 1%,246,2,0.008130081300813,0.05,5.00589430894309
LightGBM,Top 5%,1231,6,0.0048740861088545,0.15,3.0010966693744927
LightGBM,Top 10%,2463,8,0.003248071457572,0.2,1.9999187982135609
LightGBM,Top 100,100,1,0.01,0.025,6.15725
LightGBM,Top 250,250,2,0.008,0.05,4.925800000000001
LightGBM,Top 500,500,4,0.008,0.1,4.925800000000001
VC Student (validation-selected),Top-K=positives,40,0,0.0,0.0,0.0
VC Student (validation-selected),Top 1%,246,3,0.0121951219512195,0.075,7.508841463414635
VC Student (validation-selected),Top 5%,1231,8,0.0064987814784727,0.2,4.001462225832657
VC Student (validation-selected),Top 10%,2463,14,0.0056841250507511,0.35,3.499857896873732
VC Student (validation-selected),Top 100,100,0,0.0,0.0,0.0
VC Student (validation-selected),Top 250,250,3,0.012,0.075,7.388700000000001
VC Student (validation-selected),Top 500,500,6,0.012,0.15,7.388700000000001
AI-guided VC Student,Top-K=positives,40,0,0.0,0.0,0.0
AI-guided VC Student,Top 1%,246,3,0.0121951219512195,0.075,7.508841463414635
AI-guided VC Student,Top 5%,1231,10,0.0081234768480909,0.25,5.00182778229082
AI-guided VC Student,Top 10%,2463,13,0.0052781161185546,0.325,3.249868047097036
AI-guided VC Student,Top 100,100,1,0.01,0.025,6.15725
AI-guided VC Student,Top 250,250,3,0.012,0.075,7.388700000000001
AI-guided VC Student,Top 500,500,7,0.014,0.175,8.62015
